525.0	2.0040002
149.0	2.64
538.0	1.1120001
310.0	2.0040002
169.0	0.588
176.0	0.316
685.0	2.5080001
324.0	1.6800001
538.0	2.628
415.0	0.90800005
609.0	2.18
60.0	1.84
294.0	0.84400004
629.0	2.7280002
324.0	1.2
309.0	0.29200003
384.0	2.108
428.0	2.2800002
222.0	0.73600006
122.0	1.5640001
309.0	1.764
498.0	0.37600002
473.0	2.532
100.0	0.372
277.0	0.79200006
118.0	1.82
399.0	0.36800003
132.0	2.5
517.0	2.2680001
149.0	0.82400006
103.0	2.7440002
539.0	0.208
453.0	1.3160001
678.0	2.108
538.0	1.3160001
605.0	1.332
346.0	1.248
152.0	2.5040002
664.0	2.6920002
472.0	0.596
141.0	0.79600006
631.0	1.1960001
260.0	1.1
636.0	1.264
677.0	1.9200001
438.0	2.2240002
512.0	1.1120001
320.0	0.46
468.0	1.0200001
440.0	2.5640001
292.0	0.44400004
565.0	2.512
379.0	1.636
88.0	0.86800003
296.0	1.9480001
281.0	1.0480001
578.0	2.036
494.0	0.648
175.0	1.988
79.0	1.2040001
423.0	1.7440001
579.0	0.984
95.0	0.30800003
412.0	1.7
193.0	1.9760001
406.0	1.1120001
617.0	1.284
387.0	0.596
345.0	2.0080001
171.0	1.016
436.0	2.456
456.0	1.4280001
151.0	0.48800004
438.0	2.736
526.0	0.564
300.0	0.93600005
240.0	0.42800003
106.0	2.7400002
417.0	1.256
264.0	1.7040001
93.0	0.81200004
326.0	1.3560001
153.0	0.36400002
130.0	0.384
283.0	2.088
78.0	2.252
551.0	1.212
570.0	1.296
159.0	1.8720001
355.0	2.2240002
433.0	0.28
159.0	1.9800001
455.0	0.652
197.0	1.608
676.0	2.26
91.0	2.216
517.0	0.68
576.0	0.568
195.0	0.51600003
629.0	2.2280002
426.0	2.68
56.0	1.9440001
525.0	0.99200004
250.0	0.984
89.0	0.60400003
491.0	2.364
685.0	0.512
602.0	1.332
151.0	1.5000001
676.0	2.0240002
395.0	1.1520001
174.0	2.6200001
55.0	2.2480001
615.0	1.9760001
422.0	2.792
223.0	0.90000004
311.0	0.388
500.0	2.5800002
50.0	0.252
364.0	2.016
203.0	0.716
349.0	2.088
521.0	0.43600002
438.0	1.9560001
560.0	1.192
577.0	0.684
667.0	1.4000001
450.0	1.088
439.0	1.0960001
265.0	2.292
629.0	0.98
116.0	2.02
311.0	2.3720002
609.0	0.51600003
93.0	2.4840002
422.0	2.144
51.0	0.748
261.0	2.144
173.0	2.3760002
422.0	0.388
695.0	2.164
134.0	0.4
186.0	1.692
260.0	2.2840002
644.0	2.5
151.0	0.432
582.0	2.256
551.0	2.2800002
687.0	2.48
642.0	1.5920001
555.0	1.8440001
458.0	0.54
154.0	0.772
127.0	1.128
144.0	0.508
446.0	0.20400001
594.0	1.8440001
305.0	1.176
84.0	0.23600002
178.0	2.0040002
434.0	2.404
678.0	1.1
628.0	0.27600002
403.0	0.21200001
205.0	0.85600007
410.0	2.2280002
667.0	1.636
390.0	0.628
408.0	1.8560001
128.0	2.4680002
673.0	2.3240001
229.0	1.8880001
125.0	1.2520001
194.0	0.33600003
409.0	1.9520001
304.0	0.73600006
369.0	2.548
157.0	1.8880001
448.0	2.4
284.0	1.728
415.0	2.44
211.0	2.7680001
691.0	0.3
678.0	1.2080001
94.0	1.3720001
364.0	1.2520001
84.0	0.45600003
595.0	0.896
117.0	0.51600003
321.0	2.7640002
66.0	2.2120001
95.0	1.1120001
59.0	1.608
327.0	1.1320001
529.0	1.7800001
436.0	2.2280002
407.0	1.468
307.0	0.20400001
166.0	2.572
297.0	2.012
